DISCIPLINA,CODIGO,TURMA,SALA,DIA1,HORARIO1,DIA2,HORARIO2
PROGRAMACAO DE COMPUTADORES,DCC001,TA1,2008,2a,07:30 - 09:10,4a,07:30 - 09:10
PROGRAMACAO DE COMPUTADORES,DCC001,TA2,2014,2a,07:30 - 09:10,4a,07:30 - 09:10
PROGRAMACAO DE COMPUTADORES,DCC001,TB1/TB2,AUD. 1,2a,09:25 - 11:05,4a,09:25 - 11:05
PROGRAMACAO DE COMPUTADORES,DCC001,TE1,1017,3a,19:00 - 20:40,5a,20:55 - 22:35
PROGRAMACAO DE COMPUTADORES,DCC001,TE2,2055,3a,19:00 - 20:40,5a,20:55 - 22:35
PROGRAMACAO DE COMPUTADORES,DCC001,TM/TM1/,CAD1. M2 AUD.2A,2a,13:00 - 14:40,4a,13:00 - 14:40
PROGRAMACAO DE COMPUTADORES,DCC001,TN/TN1/,CAD1. AUD.2A,2a,14:55 - 16:35,4a,14:55 - 16:35
ALGORITMOS E ESTRUTURAS DE DADOS I,DCC003,TB1,2013,3a,09:25 - 11:05,5a,09:25 - 11:05
ALGORITMOS E ESTRUTURAS DE DADOS I,DCC003,TB2,2008,3a,09:25 - 11:05,5a,09:25 - 11:05
ALGORITMOS E ESTRUTURAS DE DADOS I,DCC003,TE,2015,6a,18:30 - 22:00
ALGORITMOS E ESTRUTURAS DE DADOS I,DCC003,TF/TF1/T,AUD. 1,3a,20:55 - 22:35
ALGORITMOS E ESTRUTURAS DE DADOS I,DCC003,TF1,2055,5a,19:00 - 20:40
ALGORITMOS E ESTRUTURAS DE DADOS I,DCC003,TF1/TF2,2054,3a,20:55 - 22:35,5a,19:00 - 20:40
ALGORITMOS E ESTRUTURAS DE DADOS I,DCC003,TM1,AUD. 1,3a,13:00 - 14:40,5a,13:00 - 14:40
ALGORITMOS E ESTRUTURAS DE DADOS I,DCC003,TM2,2013,3a,13:00 - 14:40,5a,13:00 - 14:40
ALGORITMOS E ESTRUTURAS DE DADOS I,DCC003,TW/TW1/,CAD1 - W2 313,3a,19:00 - 20:40,5a,19:00 - 20:40
ALGORITMOS E ESTRUTURAS DE DADOS II,DCC004,TA,2008,3a,07:30 - 09:10,5a,07:30 - 09:10
ALGORITMOS E ESTRUTURAS DE DADOS II,DCC004,TF,CAD1 - 312,3a,20:55 - 22:35,5a,19:00 - 20:40
ALGORITMOS E ESTRUTURAS DE DADOS II,DCC004,TM,CAD1. AUD.2A,3a,13:00 - 14:40,5a,13:00 - 14:40
ALGORITMOS E ESTRUTURAS DE DADOS II,DCC004,TN,CAD1 - 313,3a,16:40 - 18:20,5a,16:40 - 18:20
ALGORITMOS E ESTRUTURAS DE DADOS II,DCC004,TW,CAD1. AUD.2A,3a,19:00 - 20:40,5a,19:00 - 20:40
ALGORITMOS E ESTRUTURAS DE DADOS III,DCC005,TD,2054,3a,11:10 - 12:50,5a,11:10 - 12:50
ALGORITMOS E ESTRUTURAS DE DADOS III,DCC005,TE,AUD. 1,3a,19:00 - 20:40,5a,19:00 - 20:40
ORGANIZACAO DE COMPUTADORES I,DCC006,TD,2015,2a,11:10 - 12:50,4a,11:10 - 12:50
ORGANIZACAO DE COMPUTADORES I,DCC006,TZ,1024,2a,19:00 - 20:40,4a,19:00 - 20:40
ORGANIZACAO DE COMPUTADORES II,DCC007,TM2,2008,3a,13:00 - 14:40,5a,13:00 - 14:40
SOFTWARE BASICO,DCC008,TM,1024,2a,13:00 - 14:40,4a,13:00 - 14:40
COMPILADORES,DCC010,TM,2013,2a,13:00 - 14:40,4a,13:00 - 14:40
INTRODUCAO A BANCO DE DADOS,DCC011,TD,2009,2a,11:10 - 12:50,4a,11:10 - 12:50
INTRODUCAO A BANCO DE DADOS,DCC011,TZ,2054,2a,17:00 - 18:40,4a,17:00 - 18:40
INTRODUCAO A ARQUITETURA DE COMPUTADORES,DCC017,TD,2015,2a,11:10 - 12:50,4a,11:10 - 12:50
REDES DE COMPUTADORES,DCC023,TB,2008,2a,09:25 - 11:05,4a,09:25 - 11:05
REDES DE COMPUTADORES,DCC023,TE,2008,2a,19:00 - 20:40,4a,19:00 - 20:40
REDES DE COMPUTADORES,DCC023,TN,2008,2a,14:55 - 16:35,4a,14:55 - 16:35
REDES DE COMPUTADORES,DCC023,TW,2015,3a,19:00 - 20:40,5a,19:00 - 20:40
LINGUAGENS DE PROGRAMACAO,DCC024,TA,2013,2a,07:30 - 09:10,4a,07:30 - 09:10
LINGUAGENS DE PROGRAMACAO,DCC024,TW,2014,2a,19:00 - 20:40,4a,19:00 - 20:40
COMPUTACAO GRAFICA,DCC027,TC,2016,3a,13:00 - 14:40,5a,13:00 - 14:40
PROCESSAMENTOS DIGITAL DE IMAGENS,DCC029,TD,2015,3a,11:10 - 12:50,5a,11:10 - 12:50
TCC: ANALISE E OTIMIZACAO DE CODIGO,DCC030,TA,2015,2a,17:00 - 18:40,4a,17:00 - 18:40
TCC: APRENDIZADO DE MAQUINA,DCC030,TB,2013,3a,17:00 - 18:40,5a,17:00 - 18:40
TCC: ARQUITETURA DE SOFTWARE,DCC030,TC,2016,3a,17:00 - 18:40,5a,17:00 - 18:40
TCC: BANCOS DE DADOS AVANCADOS,DCC030,TD2,2016,2a,14:55 - 16:35,4a,14:55 - 16:35
TCC: BANCOS DE DADOS GEOGRAFICOS,DCC030,TE2,2014,3a,14:55 - 16:35,5a,14:55 - 16:35
TCC: FUNDAMENTOS ESTATISTICOS PARA CIENCIAS DOS DADOS,DCC030,TG2,2009,3a,09:25 - 11:05,5a,09:25 - 11:05
TCC: INTERNET DAS COISAS,DCC030,TH2,2015,2a,09:25 - 11:05,4a,09:25 - 11:05
TCC: INTRODUCAO A COMPUTACAO VISUAL,DCC030,TI,2014,3a,19:00 - 20:40,5a,19:00 - 20:40
